ID,Name,Description
S04_344,the fingernail,
S04_345,the claw,
S04_350,the leg,
S04_351,the thigh,
S04_360,the knee,
S04_370,the foot,
S04_371,the ankle,
S04_372,the heel,
S04_380,the toe,
S04_392,the wing,
S04_393,the feather,
S04_400,the chest,
S04_410,the breast,
S04_412,the nipple or teat,
S04_420,the udder,
S04_430,the navel,
S04_440,the heart,
S04_441,the lung,
S04_450,the liver,
S04_451,the kidney,
S04_452,the spleen,
S04_460,the stomach,
S04_461,the intestines or guts,
S04_462,the waist,
S04_463,the hip,
S04_464,the buttocks,
S04_470,the womb,
S04_490,the testicles,
S04_492,the penis,
S04_510,to breathe,
S04_520,to yawn,
S04_521,to hiccough (to hiccup),
S04_530,to cough,
S04_540,to sneeze,
S04_550,to perspire,
S04_560,to spit,
S04_570,to vomit,
S04_580,to bite,
S04_590,to lick,
S04_591,to dribble,
S04_610,to sleep,
S04_612,to snore,
S04_620,to dream,
S04_630,to wake up,
S04_640,to fart,
S04_650,to piss,
S04_660,to shit,
S04_670,to have sex,
S04_680,to shiver,
S04_690,to bathe,
S04_710,to beget,
S04_720,to be born,
S04_730,pregnant,
S04_732,to conceive,
S04_740,to be alive,
S04_750,to die,
S04_751,to drown,
S04_760,to kill,
S04_770,the corpse,
S04_780,to bury,
S04_790,the grave,
S04_810,strong,
S04_820,weak,
S04_830,healthy,
S04_840,sick/ill,
S04_841,the fever,
S04_843,the cold,
S04_850,the wound or sore,
S04_852,the bruise,
S04_853,the swelling,
S04_854,the itch,
S04_855,the blister,
S04_856,the boil,
S04_857,the pus,
S04_858,the scar,
S04_860,to cure,
S04_870,the physician,
S04_880,the medicine,
S04_890,the poison,
S04_910,tired,
S04_912,to rest,
S04_920,lazy,
S04_930,bald,
S04_940,lame,
S04_950,deaf,
S04_960,mute,
S04_970,blind,
S04_980,drunk,
S04_990,naked,
S05_110,to eat,
S05_120,the food,
S05_121,cooked,
S05_122,raw,
S05_123,ripe,
S05_124,unripe,
S05_125,rotten,
S05_130,to drink,
